,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,258.3764961,152.0383662,26.62410157,79.71402831,,131.0992935,48.39944829,42.58817049,40.1116747
Valle d'Aosta,265.3891364,164.264526,19.39242415,81.73218623,,137.9276322,61.74534318,37.82372954,38.35855949
Lombardia,242.7680997,147.568791,23.4441495,71.75515927,,123.8530939,48.63167136,40.13850753,35.08291502
Trentino Alto Adige,227.9533871,144.0774375,21.36434871,62.51160088,,112.9456124,47.14824029,36.3729212,29.42445094
Veneto,229.7250357,137.0602361,22.17781498,70.48698457,,112.6263165,42.30422423,37.2472826,33.0748097
Friuli Venezia Giulia,256.4350817,149.0602323,26.94708965,80.42775974,,134.1247384,52.95350564,42.6436392,38.52759351
Liguria,251.4625426,144.4062563,28.01713489,79.03915148,,128.0963091,46.90453605,41.12971572,40.06205729
Emilia Romagna,233.8229613,142.6476048,21.60535907,69.56999736,,125.2548944,51.57306907,36.75496956,36.92685578
Toscana,233.1396547,139.3324152,21.87794737,71.92929212,,117.9520718,45.84542778,35.17558136,36.93106267
Umbria,237.5650876,143.0383517,23.91460678,70.61212912,,120.656585,48.224614,37.0090148,35.42295618
Marche,222.5841265,133.886137,23.07812193,65.61986759,,114.7938564,45.74535756,37.71690528,31.33159355
Lazio,270.2065726,161.9756517,24.66990963,83.56101129,,138.836596,55.25068105,40.00939262,43.5765223
Abruzzo,260.9266004,153.8174979,21.80418549,85.304917,,121.0301158,41.32199699,36.9658529,42.7422659
Molise,256.2776066,141.4577792,21.39293075,93.42689669,,130.6395758,50.21619298,35.00985177,45.41353108
Campania,320.7074957,182.7998081,24.637237,113.2704507,,167.0520011,61.29513509,41.44798885,64.30887716
Puglia,252.4985721,143.5357666,22.82713731,86.13566818,,125.8284659,40.05115118,39.25331799,46.52399675
Basilicata,265.5766493,155.9172914,16.67822674,92.98113111,,125.3593308,40.59414083,34.35160297,50.41358698
Calabria,279.6267465,153.1216704,23.65623469,102.8488414,,134.1264505,41.56156097,36.81196928,55.75292025
Sicilia,283.0387081,158.9870232,24.11931554,99.93236937,,149.9643164,48.24193417,42.11757056,59.60481164
Sardegna,279.9377241,172.1286914,27.03399342,80.77503922,,126.2694094,44.81374594,43.99812587,37.45753762
Italia,257.1019631,151.5343846,23.76260505,81.80497339,,130.7205095,48.57594085,39.51481801,42.62975065
