,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,254.2109979,148.6188989,25.45219642,80.13990259,,128.6626059,47.67779963,41.49424726,39.49055905
Valle d'Aosta,266.9769027,162.2924415,17.14509808,87.53936313,,137.8015632,62.14030568,39.266014,36.39524353
Lombardia,235.0666047,141.9588381,22.07928648,71.02848012,,120.6691238,47.43471174,38.77535404,34.45905798
Trentino Alto Adige,221.0430709,140.8244875,20.87756422,59.34101915,,108.4294327,45.42035161,34.90075988,28.10832125
Veneto,225.6521313,133.5477155,20.89783517,71.20658065,,111.7936324,41.37012904,36.5481313,33.87537202
Friuli Venezia Giulia,245.6866944,141.4495697,24.95238653,79.28473819,,130.1623597,52.63840924,41.60743325,35.91651719
Liguria,241.734595,135.717422,27.73631203,78.28086097,,127.0756823,45.24307288,39.48339315,42.34921625
Emilia Romagna,224.8606802,134.8028075,20.78412191,69.27375085,,123.068097,49.81763033,35.87350669,37.37696003
Toscana,227.3132796,135.2195472,20.86634501,71.22738738,,116.7736694,45.29806003,34.89316846,36.58244091
Umbria,230.9235369,136.2308258,22.4124623,72.28024879,,116.3484019,44.52632977,33.62256586,38.19950626
Marche,219.3082689,132.732854,21.1266911,65.44872381,,112.6980798,46.1064973,35.52492181,31.06666065
Lazio,263.6086771,157.2883916,24.12462484,82.1956607,,135.4693652,53.56792507,38.97182727,42.92961289
Abruzzo,258.3625921,151.6729683,22.19147858,84.49814518,,122.8752519,41.77107989,37.79104574,43.3131263
Molise,253.7331634,140.762797,19.3298006,93.64056583,,123.8908245,49.23532504,31.03539254,43.62010688
Campania,316.538899,180.1335345,24.09946911,112.3058954,,166.5846857,61.19166286,41.93915092,63.45387195
Puglia,246.1348582,138.781645,22.41686916,84.93634409,,125.6139157,39.21250621,39.58180336,46.81960614
Basilicata,263.7752745,152.0921901,18.72161588,92.96146858,,124.4286023,39.13059319,34.49323161,50.80477749
Calabria,271.2778749,146.7263392,22.61762367,101.933912,,129.8383131,39.39662352,36.15890686,54.28278275
Sicilia,274.6013396,153.2914132,23.89398804,97.41593841,,146.8816843,47.03279979,41.50051469,58.34836982
Sardegna,273.0546846,165.766855,25.75234865,81.53548103,,125.6814263,45.41946882,43.91940257,36.34255487
Italia,250.7849407,146.7338678,22.87653286,81.17454004,,128.6747434,47.59564439,38.75090414,42.32819485
