,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,207.1655242,123.9351703,18.23212535,64.99822856,,104.7386911,36.66587483,34.36334768,33.70946862
Valle d'Aosta,233.996309,134.3987292,17.7416547,81.85592509,,98.1498255,41.20301973,32.45209904,24.49470672
Lombardia,190.333263,115.2401041,15.51241902,59.58073987,,94.24204445,36.24747188,30.46203137,27.5325412
Trentino Alto Adige,184.8599238,117.606184,15.64083024,51.61290956,,87.50953059,34.46217645,31.20502282,21.84233132
Veneto,183.8896362,111.2689122,16.70036506,55.92035897,,91.45802933,32.98849487,29.90476362,28.56477083
Friuli Venezia Giulia,210.5416229,124.7551451,18.11884706,67.66763075,,103.1016842,40.62294711,32.76278376,29.71595338
Liguria,201.2040057,116.5462084,18.56756466,66.09023258,,104.9797882,35.7513138,33.3022098,35.92626462
Emilia Romagna,180.6157548,110.6826706,14.78423903,55.14884517,,95.34721349,37.36579319,27.39302379,30.5883965
Toscana,183.5837467,108.8651149,15.29366476,59.42496707,,91.33859886,32.15728582,27.81254004,31.36877299
Umbria,167.0396944,94.54072946,15.10581333,57.39315161,,94.50794224,36.99533883,27.91227482,29.60032858
Marche,178.1714671,109.5892993,17.56114898,51.02101883,,86.31709458,30.68474683,31.00516819,24.62717956
Lazio,214.4174016,128.5657669,16.20922008,69.64241457,,109.9880339,43.10738291,31.37162584,35.50902519
Abruzzo,200.8946644,114.7808824,14.05328937,72.06049271,,97.32387478,30.65606495,30.64852632,36.01928351
Molise,210.4297744,112.7310502,16.82584811,80.87287612,,95.05869432,30.10582568,31.16083738,33.79203126
Campania,242.0048302,130.2167741,16.76822144,95.01983468,,129.6080553,42.12749364,31.29656143,56.18400024
Puglia,198.4954009,111.6376054,14.15496946,72.70282605,,102.1498747,29.13898872,30.43501958,42.5758664
Basilicata,212.3873677,114.1401176,14.99392396,83.25332622,,96.00939743,35.64478724,25.23868802,35.12592217
Calabria,207.3837592,109.6767346,14.75523224,82.95179237,,107.079545,32.416567,29.47769366,45.18528431
Sicilia,224.7632536,120.5357551,17.58803573,86.63946276,,116.6766498,35.70954608,31.31326065,49.65384307
Sardegna,229.0625723,136.9288024,17.55586797,74.57790198,,97.36927039,29.46496062,35.55462013,32.34968964
Italia,201.9562312,117.723567,16.22179992,68.01086424,,102.2262011,35.85106993,30.76794529,35.60718591
