,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,207.5483538,124.5517368,17.26866128,65.72795569,,100.5317773,36.15394284,33.20368969,31.1741448
Valle d'Aosta,239.6754652,142.3699641,14.29997779,83.00552329,,102.3209466,39.39385482,27.60808827,35.31900351
Lombardia,194.2696298,119.0978737,15.50153722,59.67021886,,97.9991733,35.19158445,32.54096362,30.26662523
Trentino Alto Adige,198.9078788,125.7049942,16.98642483,56.21645977,,85.91622874,32.59545657,29.3984374,23.92233478
Veneto,181.4264715,108.864862,15.61883643,56.94277309,,90.35756317,31.87299411,30.54794927,27.93661979
Friuli Venezia Giulia,210.4417168,122.3438871,17.83678588,70.26104381,,104.1677053,40.95028671,31.99317269,31.22424593
Liguria,189.4903355,110.5862857,16.92154527,61.98250454,,99.1115651,34.2521008,32.2699632,32.58950109
Emilia Romagna,189.3763747,114.1168444,15.92723503,59.3322953,,95.79953977,36.53895772,31.2167975,28.04378455
Toscana,181.0100107,110.5448254,15.20874108,55.25644427,,94.79795045,33.43032577,29.6412752,31.72634949
Umbria,200.5005905,120.3847515,16.61802013,63.49781887,,86.71620304,35.25659655,27.45512874,24.00447774
Marche,175.1024804,105.9536811,16.7238846,52.42491471,,84.66741002,29.7986858,30.32102782,24.5476964
Lazio,218.3429645,129.5106062,18.0350488,70.79730945,,104.6971643,40.23965704,30.09181752,34.3656897
Abruzzo,208.703402,112.359367,16.99191945,79.35211552,,97.27498112,33.02301571,28.80262612,35.44933929
Molise,207.2653808,105.133047,16.86272648,85.2696073,,101.7017306,31.26262227,25.20308465,45.23602363
Campania,254.1831881,136.7165156,16.62948793,100.8371846,,131.2803298,41.68283313,33.33043773,56.26705897
Puglia,198.4870906,112.5149767,15.49586768,70.47624617,,97.19343891,27.40059572,30.94434506,38.84849812
Basilicata,207.7474719,117.331552,11.74268763,78.6732323,,97.90293529,29.94717572,28.00410775,39.95165182
Calabria,223.3441996,121.1440866,16.28174547,85.91836752,,98.82140227,28.03715584,28.00971037,42.77453606
Sicilia,223.3041473,122.2644442,16.28888662,84.75081643,,116.9049724,32.4513158,33.98376492,50.46989168
Sardegna,228.2384552,135.4911486,18.16545779,74.58184886,,97.34859535,30.68111584,34.33009271,32.33738681
Italia,205.0691879,119.8348984,16.32760469,68.90668488,,101.4153989,34.66355619,31.50226325,35.2495795
