,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,21.13519366,12.97178821,1.582805755,6.580599696,,12.07860087,4.395367519,3.811413636,3.871819716
Valle d'Aosta,24.09828451,15.03905529,1.102707624,7.956521601,,11.85987429,4.387769419,2.956866294,4.515238575
Lombardia,19.88300116,12.26824235,1.460845763,6.153913053,,11.5139546,4.063398752,3.645654674,3.80490117
Trentino Alto Adige,20.46675116,13.14203349,1.566772554,5.757945123,,10.18751799,3.758850308,3.327525566,3.101142113
Veneto,18.90894125,11.60368833,1.441074562,5.86417836,,10.66564949,3.790111835,3.428569457,3.446968195
Friuli Venezia Giulia,21.52841144,12.76824865,1.618450134,7.141712653,,12.61277629,4.84444844,3.596043443,4.172284409
Liguria,19.19255398,11.23036977,1.587883533,6.374300675,,11.41218513,3.78821615,3.618635811,4.005333172
Emilia Romagna,19.7787797,12.07673397,1.533308079,6.16873765,,11.34153065,4.181951411,3.551723692,3.607855551
Toscana,18.7925497,11.61908374,1.400098337,5.773367619,,11.36764429,3.960857526,3.324944183,4.081842584
Umbria,21.46959165,13.46877161,1.563263705,6.437556332,,10.38590838,4.109355919,3.184251137,3.092301329
Marche,18.6236913,11.49833437,1.569024666,5.556332256,,9.720671649,3.564734225,3.43170608,2.724231344
Lazio,22.87709571,13.63101891,1.671665825,7.574410977,,12.41396792,4.639625856,3.386030857,4.388311208
Abruzzo,22.34178246,11.84518339,1.677908347,8.818690722,,11.96275897,3.833232353,3.305387155,4.824139466
Molise,22.49389327,11.38636785,1.528921523,9.5786039,,12.90560971,3.556128718,2.955462078,6.394018915
Campania,24.924343,13.27518595,1.541103531,10.10805352,,14.7725457,4.571405892,3.748786757,6.45235305
Puglia,21.13112138,12.09604501,1.440764669,7.594311709,,11.31945214,3.197215605,3.480345371,4.641891162
Basilicata,21.56742213,12.11159078,1.022560166,8.433271184,,11.31020017,3.400697698,3.292084745,4.617417723
Calabria,23.75994571,13.08238214,1.543588468,9.133975105,,11.57883907,3.095690025,3.259446498,5.223702545
Sicilia,23.1190503,12.67149214,1.49081143,8.956746726,,13.50615527,3.569184991,3.753543141,6.183427142
Sardegna,24.61331603,14.74879362,1.695002463,8.169519944,,11.91301258,3.593590281,3.951587745,4.36783455
Italia,21.22704849,12.50761662,1.520075844,7.199356022,,11.92634254,3.988708716,3.554508134,4.383125688
