,MASCHI,,,,,FEMMINE,,,
Regione,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,20.33634285,12.0356325,1.637699356,6.663011001,,11.26842812,4.184141637,3.407794226,3.676492253
Valle d'Aosta,19.40605338,12.49662707,0.423591323,6.485834988,,9.744114663,5.360266445,2.556127578,1.82772064
Lombardia,17.97055111,10.83874921,1.35801242,5.773789474,,10.35030017,3.936230732,3.136589557,3.277479884
Trentino Alto Adige,17.68966989,11.21096254,1.508752523,4.969954829,,9.841048384,4.013404271,2.957466876,2.870177237
Veneto,17.6042581,10.21304563,1.390112771,6.001099708,,9.68714606,3.304691026,3.124369272,3.258085762
Friuli Venezia Giulia,19.79631933,11.33692525,1.283751417,7.17564266,,12.62235504,5.009711381,3.747279038,3.865364617
Liguria,18.25176463,11.08569388,1.442343177,5.723727571,,11.14482252,3.543110521,3.321791739,4.279920258
Emilia Romagna,17.85198428,10.4639766,1.320202789,6.067804893,,10.73798089,4.26325821,3.109682669,3.365040014
Toscana,17.22755899,9.95613919,1.268608029,6.002811767,,9.697370084,3.592066647,3.007519945,3.097783493
Umbria,19.51294366,11.52932488,1.513285723,6.470333055,,10.47757161,3.64692542,3.214563388,3.616082803
Marche,17.52100674,10.31456076,1.695597327,5.510848658,,10.10830897,4.056475321,3.39579185,2.656041804
Lazio,21.43630846,12.42898908,1.495959808,7.511359567,,11.57430411,4.167004857,3.27507508,4.132224177
Abruzzo,20.27107142,11.61647729,1.502116975,7.152477156,,10.81094877,3.155150542,3.295958582,4.35983965
Molise,20.98330817,10.27465285,1.42289199,9.285763326,,10.71948868,3.49302401,2.718947528,4.507517142
Campania,24.05126287,12.73357437,1.63280774,9.684880758,,13.55964985,4.423788292,3.63012052,5.505741042
Puglia,18.94548681,10.56217931,1.499765411,6.883542086,,11.15879425,3.200988139,3.591439653,4.366366459
Basilicata,20.73885785,10.74745693,1.415019733,8.576381187,,10.01904109,3.071372786,2.732046696,4.215621609
Calabria,21.59800544,11.31051874,1.486291237,8.801195464,,11.26681646,2.715355284,2.772485205,5.778975969
Sicilia,21.38285774,11.72966406,1.541845604,8.111348081,,12.46431874,3.626908696,3.461724056,5.375685993
Sardegna,23.30954737,14.53499628,1.788676666,6.985874429,,12.24833532,4.118738784,3.850324713,4.279271825
Italia,19.68117592,11.30591232,1.470785875,6.904477721,,11.12393757,3.843388338,3.289838938,3.990710289
