,Maschi,,,,,,Femmine,,,,
Regione,Tutte le cause,Pos.,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria,,Tutte le cause,Pos.,Prev. primaria,"Diagnosi
pr. e ter.",Igiene e ass. sanitaria
Piemonte,23.76887502,11,14.31491996,2.214994528,7.238960538,,13.46296936,12,5.036773835,4.401600422,4.024595102
Valle d'Aosta,25.96925338,18,16.30214313,1.517775105,8.149335153,,13.6810899,16,6.165259078,3.879874651,3.635956167
Lombardia,21.7331948,6,13.35839379,1.919819678,6.454981328,,12.62209829,6,4.904025671,4.026923972,3.691148643
Trentino Alto Adige,20.78750504,1,13.71971392,1.833631166,5.234159958,,11.43896774,1,4.835095084,3.57140895,3.032463707
Veneto,21.12961579,4,12.82369315,1.847081449,6.458841192,,11.74771092,2,4.333166605,3.864357532,3.550186778
Friuli Venezia Giulia,22.75273164,9,13.32360481,2.143029317,7.286097508,,13.73227459,17,5.621078372,4.441120947,3.670075276
Liguria,22.07168792,8,12.71194769,2.366402623,6.993337608,,13.19520075,10,4.620440698,4.06794095,4.506819106
Emilia Romagna,21.06213091,3,12.83133498,1.807148503,6.423647424,,12.76716937,7,5.200343572,3.719438467,3.847387326
Toscana,21.21463393,5,12.85687868,1.817482199,6.540273049,,12.11556167,4,4.746217882,3.720414784,3.648929003
Umbria,21.79373127,7,13.01133027,1.931042504,6.851358492,,12.46004766,5,4.760952951,3.524383891,4.17471082
Marche,20.86770666,2,12.94817054,1.875386562,6.044149559,,11.9505666,3,4.941366542,3.804520259,3.204679798
Lazio,24.69094694,14,14.95063255,2.052758213,7.687556174,,14.0729452,18,5.421685517,4.103955064,4.547304622
Abruzzo,24.34845743,13,14.56459715,1.968617137,7.815243146,,13.16555676,9,4.408023698,4.065555117,4.69197795
Molise,24.06271575,12,13.459239,1.818766198,8.784710543,,13.48212403,14,5.18203526,3.267402762,5.032686007
Campania,28.48812579,20,16.23975582,2.137344746,10.11102522,,16.78650887,20,5.992440791,4.467200236,6.326867839
Puglia,23.01535155,10,13.29075918,1.989997599,7.734594772,,13.2027304,11,4.078604084,4.214780701,4.909345619
Basilicata,25.00465896,15,14.69725051,1.753268291,8.554140159,,13.03289741,8,3.916539858,3.63418989,5.482167661
Calabria,25.53290607,17,14.07865216,1.954550484,9.499703424,,13.6068828,15,4.050382037,3.84016743,5.716333336
Sicilia,25.46448715,16,14.45838588,2.097252281,8.908848991,,15.24623476,19,4.822517137,4.362577253,6.061140374
Sardegna,26.62874175,19,16.86868134,2.253982611,7.506077801,,13.47625207,13,4.928139288,4.644583459,3.903529326
Italia,23.36184493,,13.92617241,1.998144353,7.437528161,,13.41864966,,4.915210459,4.082045216,4.421393986
