"unit,direct,na_item,geo\time"	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
"PPS_HAB,BAL,B6N,DE73"	16600	17100	17200	16900	17900	18500	19300	19000	19700 e	20400 e	20300 e	: 
"PPS_HAB,BAL,B6N,DE80"	14400	14800	14900	15000	15400	15900	16500	16700	17100 e	17700 e	17700 e	: 
"PPS_HAB,BAL,B6N,DE91"	16900	17200	17200	17100	17700	18600	19500	19500	20200 e	20900 e	20800 e	: 
"PPS_HAB,BAL,B6N,DE92"	17300	17600	17600	17400	18000	18700	19500	19300	20000 e	20600 e	20500 e	: 
"PPS_HAB,BAL,B6N,DE93"	17300	17800	17900	17700	18300	19100	19800	19900	20500 e	21200 e	21000 e	: 
"PPS_HAB,BAL,B6N,DE94"	16300	16700	16800	16600	17100	17900	18700	18700	19300 e	19900 e	19800 e	: 
"PPS_HAB,BAL,B6N,DEA1"	18400	18700	18900	18100	18800	19600	20200	20000	20700 e	21200 e	21100 e	: 
"PPS_HAB,BAL,B6N,DEA2"	18100	18500	18700	18000	18900	19600	20200	20100	20800 e	21200 e	21100 e	: 
"PPS_HAB,BAL,B6N,DEA3"	16800	17200	17500	16900	17700	18500	19000	19100	19800 e	20300 e	20200 e	: 
"PPS_HAB,BAL,B6N,DEA4"	18100	18500	18800	18100	19000	19800	20400	20400	21400 e	21800 e	21700 e	: 
"PPS_HAB,BAL,B6N,DEA5"	17800	18300	18500	17800	18500	19300	20000	19600	20400 e	20800 e	20800 e	: 
"PPS_HAB,BAL,B6N,DEB1"	18200	18800	18700	18700	18900	19800	20400	20300	21000 e	21700 e	21600 e	: 
"PPS_HAB,BAL,B6N,DEB2"	17600	18200	18100	18200	18500	19300	19800	19600	20300 e	21000 e	21000 e	: 
"PPS_HAB,BAL,B6N,DEB3"	18500	19100	18900	18800	19300	20000	20600	20300	21100 e	21900 e	21700 e	: 
"PPS_HAB,BAL,B6N,DEC0"	16700	17100	17000	16800	17600	18200	18800	18700	19400 e	20000 e	19900 e	: 
"PPS_HAB,BAL,B6N,DED2"	15300	15700	15800	15700	16300	16800	17400	17400	17900 e	18600 e	18600 e	: 
"PPS_HAB,BAL,B6N,DED4"	15100	15500	15600	15600	16200	16800	17400	17400	18100 e	18800 e	18900 e	: 
"PPS_HAB,BAL,B6N,DED5"	15200	15700	15700	15600	16200	16800	17400	17400	17800 e	18300 e	18100 e	: 
"PPS_HAB,BAL,B6N,DEE0"	14300	14700	14900	15000	15500	16100	16800	16800	17500 e	18100 e	18100 e	: 
"PPS_HAB,BAL,B6N,DEF0"	17900	18500	18500	18200	18800	19600	20400	20400	21100 e	21700 e	21600 e	: 
"PPS_HAB,BAL,B6N,DEG0"	14800	15300	15300	15300	15700	16400	17000	17100	17700 e	18300 e	18400 e	: 
"PPS_HAB,BAL,B6N,DK01"	13000	13200	13200	13400	14500	14800	15100	15200	15500	16500	16600	17300
"PPS_HAB,BAL,B6N,DK02"	12300	12500	12400	12600	13500	13700	14100	14400	14600	15600	15500	16100
"PPS_HAB,BAL,B6N,DK03"	12100	12400	12300	12300	13200	13500	13800	14100	14200	15100	15100	15700
"PPS_HAB,BAL,B6N,DK04"	12300	12600	12400	12600	13300	13600	13900	14200	14200	15300	15300	15900
"PPS_HAB,BAL,B6N,DK05"	12100	12500	12200	12300	13100	13500	13900	14200	14200	15100	15100	15700
"PPS_HAB,BAL,B6N,EL30"	17600	18100	18400	18000	15600	14500	13400	12900	13500	13400 p	12900 p	: 
"PPS_HAB,BAL,B6N,EL41"	13000	13700	14200	14100	14000	12100	11900	10900	11400	11500 p	11000 p	: 
"PPS_HAB,BAL,B6N,EL42"	13000	13500	13800	13600	14500	13200	11800	11600	14900	15500 p	15100 p	: 
"PPS_HAB,BAL,B6N,EL43"	13500	13800	13800	13300	11700	10200	9600	9400	10900	10900 p	10700 p	: 
"PPS_HAB,BAL,B6N,EL51"	13300	12800	13000	12900	11800	10400	10100	9400	10000	10100 p	9800 p	: 
"PPS_HAB,BAL,B6N,EL52"	12900	13600	14100	13800	12800	11400	11100	10500	11000	11100 p	10900 p	: 
"PPS_HAB,BAL,B6N,EL53"	12900	13700	14400	14300	13500	12400	11800	11300	12000	12000 p	11400 p	: 
"PPS_HAB,BAL,B6N,EL54"	12400	13200	13700	13900	13300	11800	11400	10600	10800	10800 p	10400 p	: 
"PPS_HAB,BAL,B6N,EL61"	13500	13900	15400	14400	13000	11500	11000	10300	10700	10700 p	10400 p	: 
"PPS_HAB,BAL,B6N,EL62"	13400	13900	13800	13600	13400	12000	12000	11300	13300	13300 p	12800 p	: 
"PPS_HAB,BAL,B6N,EL63"	12800	13100	14000	13500	12300	10700	9900	9400	9800	9800 p	9600 p	: 
"PPS_HAB,BAL,B6N,EL64"	13500	14000	14100	14100	12100	11500	9700	9000	10600	10400 p	9300 p	: 
"PPS_HAB,BAL,B6N,EL65"	13200	13600	13800	13900	12900	11300	10900	10200	10700	10700 p	10500 p	: 
"PPS_HAB,BAL,B6N,ES11"	13100	13300	13400	13000	12700	12800	12700	12800	13500	14200	14100 p	: 
"PPS_HAB,BAL,B6N,ES12"	14900	15300	15200	14400	14200	14400	14300	14400	14900	15800	15400 p	: 
"PPS_HAB,BAL,B6N,ES13"	14700	14600	14800	14300	13600	13700	13400	13600	14200	15000	15000 p	: 
"PPS_HAB,BAL,B6N,ES21"	18800	19000	19400	18700	18500	18400	18400	18700	19300	20100	19900 p	: 
"PPS_HAB,BAL,B6N,ES22"	18000	18300	18100	17600	17500	17700	17300	17500	18100	19100	18700 p	: 
"PPS_HAB,BAL,B6N,ES23"	15300	14800	14900	14500	14300	14500	14300	14600	15200	16000	15800 p	: 
"PPS_HAB,BAL,B6N,ES24"	15700	15600	15600	15400	15000	15300	15200	15300	15700	16500	16400 p	: 
"PPS_HAB,BAL,B6N,ES30"	17700	17400	17500	17600	17300	17500	17300	17500	18400	19500	19300 p	: 
"PPS_HAB,BAL,B6N,ES41"	14400	14300	14300	13900	13800	13800	13900	14000	14400	15300	15100 p	: 
"PPS_HAB,BAL,B6N,ES42"	12000	12000	12100	11900	11700	11600	11400	11700	12000	12800	12800 p	: 
"PPS_HAB,BAL,B6N,ES43"	10900	10900	11000	10600	10600	10500	10400	10700	10900	11600	11600 p	: 
"PPS_HAB,BAL,B6N,ES51"	16500	16400	16400	16200	16000	15900	15800	16000	16800	17800	17500 p	: 
"PPS_HAB,BAL,B6N,ES52"	13000	12900	13000	12600	12300	12400	12200	12300	12800	13600	13400 p	: 
"PPS_HAB,BAL,B6N,ES53"	15800	15300	15100	14500	13800	14000	13800	13800	14300	15300	15300 p	: 
"PPS_HAB,BAL,B6N,ES61"	11500	11500	11600	11400	11000	11000	10800	10900	11200	12000	11800 p	: 
"PPS_HAB,BAL,B6N,ES62"	11600	11700	11900	11600	11400	11300	11100	11300	11500	12200	12100 p	: 
"PPS_HAB,BAL,B6N,ES63"	14100	13600	13700	13200	12600	12400	11800	12200	12500	13300	13200 p	: 
"PPS_HAB,BAL,B6N,ES64"	13800	13100	12900	12200	11500	11300	10700	10800	11200	11900	11800 p	: 
"PPS_HAB,BAL,B6N,ES70"	12800	12700	12500	12000	11800	11800	11500	11700	11900	12700	12700 p	: 
"PPS_HAB,BAL,B6N,FI19"	12600	13700	14100	13900	14500	15000	15300	15600	15700	16300	16100	: 
"PPS_HAB,BAL,B6N,FI1B"	14800	15900	16600	16900	17500	18000	18200	18000	18400	19200	19000	: 
"PPS_HAB,BAL,B6N,FI1C"	12900	14000	14400	14300	14900	15300	15700	15900	16000	16700	16500	: 
"PPS_HAB,BAL,B6N,FI1D"	12000	13100	13400	13200	13900	14400	14700	15000	15200	15700	15700	: 
"PPS_HAB,BAL,B6N,FI20"	14100	15700	17600	17400	18100	18800	18400	18800	18700	19900	19600	: 
"PPS_HAB,BAL,B6N,FR10"	: 	: 	: 	: 	: 	: 	: 	: 	: 	21100	20900 p	: 
"PPS_HAB,BAL,B6N,FRB0"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17800	17600 p	: 
"PPS_HAB,BAL,B6N,FRC1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17700	17700 p	: 
"PPS_HAB,BAL,B6N,FRC2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17600	17600 p	: 
"PPS_HAB,BAL,B6N,FRD1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17300	17300 p	: 
"PPS_HAB,BAL,B6N,FRD2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17400	17200 p	: 
"PPS_HAB,BAL,B6N,FRE1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	15400	15300 p	: 
"PPS_HAB,BAL,B6N,FRE2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16800	16800 p	: 
"PPS_HAB,BAL,B6N,FRF1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17900	17500 p	: 
"PPS_HAB,BAL,B6N,FRF2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16700	16500 p	: 
"PPS_HAB,BAL,B6N,FRF3"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17200	17200 p	: 
"PPS_HAB,BAL,B6N,FRG0"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17200	17000 p	: 
"PPS_HAB,BAL,B6N,FRH0"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17100	17000 p	: 
"PPS_HAB,BAL,B6N,FRI1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17300	17000 p	: 
"PPS_HAB,BAL,B6N,FRI2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17500	17500 p	: 
"PPS_HAB,BAL,B6N,FRI3"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17200	17200 p	: 
"PPS_HAB,BAL,B6N,FRJ1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16100	15800 p	: 
"PPS_HAB,BAL,B6N,FRJ2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17300	17100 p	: 
"PPS_HAB,BAL,B6N,FRK1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	18100	18000 p	: 
"PPS_HAB,BAL,B6N,FRK2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	18300	17900 p	: 
"PPS_HAB,BAL,B6N,FRL0"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17700	17500 p	: 
"PPS_HAB,BAL,B6N,FRM0"	: 	: 	: 	: 	: 	: 	: 	: 	: 	15800	15600 p	: 
"PPS_HAB,BAL,B6N,FRY1"	: 	: 	: 	: 	: 	: 	: 	: 	: 	15300	15300 p	: 
"PPS_HAB,BAL,B6N,FRY2"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16400	16200 p	: 
"PPS_HAB,BAL,B6N,FRY3"	: 	: 	: 	: 	: 	: 	: 	: 	: 	10800	10600 p	: 
"PPS_HAB,BAL,B6N,FRY4"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16000	16000 p	: 
"PPS_HAB,BAL,B6N,FRY5"	: 	: 	: 	: 	: 	: 	: 	: 	: 	5700	5800 p	: 
"PPS_HAB,BAL,B6N,HR03"	7400	7800	8300	8500	8200	8300	8400	8600	8600	9500	9900	: 
"PPS_HAB,BAL,B6N,HR04"	7400	7900	8500	8500	8300	8700	8800	8800	8700	9400	9700	: 
"PPS_HAB,BAL,B6N,HU11"	12200	11600	10100	9300	9500	13000	11400	9700	9800	10100	10100	: 
"PPS_HAB,BAL,B6N,HU12"	10700	10100	9000	8600	8500	9500	9600	10400	10600	11300	11000	: 
"PPS_HAB,BAL,B6N,HU21"	8300	8100	8400	8100	8500	9100	9400	10300	10400	10500	10700	: 
"PPS_HAB,BAL,B6N,HU22"	8000	7800	8300	8200	8600	9100	9400	10200	10600	10500	10500	: 
"PPS_HAB,BAL,B6N,HU23"	7100	7100	7800	7700	7900	8200	8400	9100	9400	9500	9800	: 
"PPS_HAB,BAL,B6N,HU31"	6600	6600	7200	7500	7600	7700	8000	8500	9000	9000	9200	: 
"PPS_HAB,BAL,B6N,HU32"	6400	6400	7100	7100	7400	7500	7900	8600	9200	9000	9300	: 
"PPS_HAB,BAL,B6N,HU33"	6700	6800	7400	7200	7700	6500	8300	9200	9500	9600	9900	: 
"PPS_HAB,BAL,B6N,IE04"	12200	12700	13200	12900	13600	12300	13000	12500	12300	13100	13100	: 
"PPS_HAB,BAL,B6N,IE05"	14200	15000	15100	14100	15000	14100	14600	14300	14000	14900	15100	: 
"PPS_HAB,BAL,B6N,IE06"	15500	16500	16800	15800	16400	15700	16200	15800	15600	16400	16500	: 
"PPS_HAB,BAL,B6N,ITC1"	19700	20200	20200	18700	19100	19300	18600	18400	18500	19100	19300	19700
"PPS_HAB,BAL,B6N,ITC2"	19000	19500	19900	19100	19400	19300	18700	18400	18500	18700	18900	19000
"PPS_HAB,BAL,B6N,ITC3"	19500	20500	20500	19300	19200	19300	18900	18400	18500	19100	19400	19700
"PPS_HAB,BAL,B6N,ITC4"	20800	21500	21700	20400	20700	20900	20200	20000	20000	20800	21000	21200
"PPS_HAB,BAL,B6N,ITF1"	14900	15500	15700	15000	15000	15300	14700	14700	14600	15200	15300	15400
"PPS_HAB,BAL,B6N,ITF2"	13800	14400	14400	13800	13800	13900	13400	13200	13100	13600	13600	13700
"PPS_HAB,BAL,B6N,ITF3"	12300	12700	12700	12100	12200	12100	11600	11400	11500	12000	12100	12300
"PPS_HAB,BAL,B6N,ITF4"	12400	12700	12700	12100	12300	12500	12300	12200	12300	12900	13000	13200
"PPS_HAB,BAL,B6N,ITF5"	12400	12900	12900	12300	12300	12200	12000	11800	11900	12700	12700	12700
"PPS_HAB,BAL,B6N,ITF6"	11900	12300	12300	12000	11900	11900	11500	11400	11300	11700	11900	12100
"PPS_HAB,BAL,B6N,ITG1"	12100	12400	12600	12200	12300	12300	12000	11800	11800	12200	12300	12500
"PPS_HAB,BAL,B6N,ITG2"	13100	13700	13800	13400	13600	13600	13400	13800	13800	14200	14200	14300
"PPS_HAB,BAL,B6N,ITH1"	20700	21500	21800	21200	21500	21500	21100	21200	21300	22500	22800	23000
"PPS_HAB,BAL,B6N,ITH2"	19200	20100	20500	19600	20000	19900	19300	19400	18800	19500	19400	19800
"PPS_HAB,BAL,B6N,ITH3"	18200	18800	18800	17700	18100	18300	17600	17600	17700	18500	18900	19100
"PPS_HAB,BAL,B6N,ITH4"	18800	19700	19600	18500	18900	19000	18300	18300	18100	19000	19500	19500
"PPS_HAB,BAL,B6N,ITH5"	21100	22000	21700	20200	20200	20400	19800	19800	19800	20600	20800	21100
"PPS_HAB,BAL,B6N,ITI1"	18500	19000	19100	18100	18100	18200	17700	17500	17600	18100	18600	18700
"PPS_HAB,BAL,B6N,ITI2"	17400	17900	18000	17000	17400	17600	16900	16600	16400	16900	17100	17200
"PPS_HAB,BAL,B6N,ITI3"	16800	17400	17600	16700	17100	17100	16600	16600	16600	17200	17600	17700
"PPS_HAB,BAL,B6N,ITI4"	18200	19000	19000	18200	18400	18200	17100	16600	16700	17300	17700	17800
"PPS_HAB,BAL,B6N,LT01"	: 	: 	: 	: 	10200	10800	11500	12600	13300	14400	15500	: 
"PPS_HAB,BAL,B6N,LT02"	: 	: 	: 	: 	9200	9800	10400	11100	11500	12100	12200	: 
"PPS_HAB,BAL,B6N,LU00"	24200	24700	24800	24000	24300	24000	25000	25000	25900	26200	24900	25700
"PPS_HAB,BAL,B6N,LV00"	7000	7900	8500	7300	7500	7100	7700	8200	8600	9500	9700	: 
"PPS_HAB,BAL,B6N,NL11"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16000	15800 p	: 
"PPS_HAB,BAL,B6N,NL12"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16300	15800 p	: 
"PPS_HAB,BAL,B6N,NL13"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16800	16200 p	: 
"PPS_HAB,BAL,B6N,NL21"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16300	15900 p	: 
"PPS_HAB,BAL,B6N,NL22"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16900	16600 p	: 
"PPS_HAB,BAL,B6N,NL23"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16600	16200 p	: 
"PPS_HAB,BAL,B6N,NL31"	: 	: 	: 	: 	: 	: 	: 	: 	: 	18300	18400 p	: 
"PPS_HAB,BAL,B6N,NL32"	: 	: 	: 	: 	: 	: 	: 	: 	: 	18400	18400 p	: 
"PPS_HAB,BAL,B6N,NL33"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17400	17100 p	: 
"PPS_HAB,BAL,B6N,NL34"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17200	16700 p	: 
"PPS_HAB,BAL,B6N,NL41"	: 	: 	: 	: 	: 	: 	: 	: 	: 	17300	17100 p	: 
"PPS_HAB,BAL,B6N,NL42"	: 	: 	: 	: 	: 	: 	: 	: 	: 	16700	16300 p	: 
"PPS_HAB,BAL,B6N,NO01"	: 	: 	: 	: 	: 	: 	: 	20700	21500	22500	21100	: 
"PPS_HAB,BAL,B6N,NO02"	: 	: 	: 	: 	: 	: 	: 	18200	18600	18800	17900	: 
"PPS_HAB,BAL,B6N,NO03"	: 	: 	: 	: 	: 	: 	: 	18600	18900	19300	18200	: 
"PPS_HAB,BAL,B6N,NO04"	: 	: 	: 	: 	: 	: 	: 	19600	20200	20400	18900	: 
"PPS_HAB,BAL,B6N,NO05"	: 	: 	: 	: 	: 	: 	: 	19200	19900	20200	18800	: 
"PPS_HAB,BAL,B6N,NO06"	: 	: 	: 	: 	: 	: 	: 	18900	19200	19400	18500	: 
"PPS_HAB,BAL,B6N,NO07"	: 	: 	: 	: 	: 	: 	: 	18900	19100	19300	18500	: 
"PPS_HAB,BAL,B6N,PL21"	: 	: 	: 	: 	: 	: 	: 	: 	10700	11300	11500	: 
"PPS_HAB,BAL,B6N,PL22"	: 	: 	: 	: 	: 	: 	: 	: 	12800	13500	13500	: 
"PPS_HAB,BAL,B6N,PL41"	: 	: 	: 	: 	: 	: 	: 	: 	11700	12400	12700	: 
"PPS_HAB,BAL,B6N,PL42"	: 	: 	: 	: 	: 	: 	: 	: 	10800	11500	11800	: 
"PPS_HAB,BAL,B6N,PL43"	: 	: 	: 	: 	: 	: 	: 	: 	10100	10700	10900	: 
"PPS_HAB,BAL,B6N,PL51"	: 	: 	: 	: 	: 	: 	: 	: 	11700	12400	12600	: 
"PPS_HAB,BAL,B6N,PL52"	: 	: 	: 	: 	: 	: 	: 	: 	10000	10600	10900	: 
"PPS_HAB,BAL,B6N,PL61"	: 	: 	: 	: 	: 	: 	: 	: 	10000	10500	10900	: 
"PPS_HAB,BAL,B6N,PL62"	: 	: 	: 	: 	: 	: 	: 	: 	9700	10200	10600	: 
"PPS_HAB,BAL,B6N,PL63"	: 	: 	: 	: 	: 	: 	: 	: 	10900	11500	11700	: 
"PPS_HAB,BAL,B6N,PL71"	: 	: 	: 	: 	: 	: 	: 	: 	11400	12100	12300	: 
"PPS_HAB,BAL,B6N,PL72"	: 	: 	: 	: 	: 	: 	: 	: 	9800	10400	10600	: 
"PPS_HAB,BAL,B6N,PL81"	: 	: 	: 	: 	: 	: 	: 	: 	9700	10100	10500	: 
"PPS_HAB,BAL,B6N,PL82"	: 	: 	: 	: 	: 	: 	: 	: 	8800	9400	9600	: 
"PPS_HAB,BAL,B6N,PL84"	: 	: 	: 	: 	: 	: 	: 	: 	9300	9700	10200	: 
"PPS_HAB,BAL,B6N,PL91"	: 	: 	: 	: 	: 	: 	: 	: 	16700	17400	17500	: 
"PPS_HAB,BAL,B6N,PL92"	: 	: 	: 	: 	: 	: 	: 	: 	9800	10600	10700	: 
"PPS_HAB,BAL,B6N,PT11"	10600	10800	10900	10600	11000	10500	10400	10700	10800	11500	11600	: 
"PPS_HAB,BAL,B6N,PT15"	14000	14200	13900	13600	13300	12600	12800	12900	13300	14000	14300	: 
"PPS_HAB,BAL,B6N,PT16"	11600	11800	11800	11500	11800	11300	11400	11600	11600	12400	12300	: 
"PPS_HAB,BAL,B6N,PT17"	15900	16200	16200	15600	16500	15700	15300	15600	15300	16100	15900	: 
"PPS_HAB,BAL,B6N,PT18"	12100	12100	12100	12100	12200	11600	11500	11600	11800	12600	12600	: 
"PPS_HAB,BAL,B6N,PT20"	13000	13000	13300	13000	13200	12700	12300	12500	12500	13400	13600	: 
"PPS_HAB,BAL,B6N,PT30"	13300	13000	13600	12700	12700	12200	12200	12200	12100	12800	12800	: 
"PPS_HAB,BAL,B6N,RO11"	4300 b	5100 b	5500 b	5200 b	6100 b	6100 b	6700	7100	7500	8000	9100	: 
"PPS_HAB,BAL,B6N,RO12"	4400 b	5300 b	5900 b	5500 b	6500 b	6500 b	7100	7400	7600	8200	9300	: 
