"unit,direct,na_item,geo\time"	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
"PPS_HAB,BAL,B6N,RO21"	3200 b	3600 b	4100 b	3900 b	4700 b	4700 b	5300	5700	5600	6100	6900	: 
"PPS_HAB,BAL,B6N,RO22"	3900 b	4400 b	5100 b	4700 b	5800 b	5800 b	6300	6800	6800	7200	7800	: 
"PPS_HAB,BAL,B6N,RO31"	3700 b	4200 b	4900 b	4700 b	5500 b	5700 b	6000	6300	6200	6900	7600	: 
"PPS_HAB,BAL,B6N,RO32"	8200 b	10300 b	13300 b	11700 b	13300 b	13000 b	13000	13700	16000	16000	18100	: 
"PPS_HAB,BAL,B6N,RO41"	3600 b	4300 b	4900 b	4600 b	5400 b	5500 b	6000	6200	6200	6600	7300	: 
"PPS_HAB,BAL,B6N,RO42"	5200 b	6100 b	6800 b	6200 b	7600 b	7600 b	8500	8900	9000	9700	10900	: 
"PPS_HAB,BAL,B6N,SE11"	15700	17200	17800	17600	18000	18400	19500	19500	19800	20400	20000	: 
"PPS_HAB,BAL,B6N,SE12"	13300	14500	14800	14600	15000	15600	16500	16300	16700	17300	16700	: 
"PPS_HAB,BAL,B6N,SE21"	13200	14400	14700	14400	14800	15500	16300	16100	16600	17100	16600	: 
"PPS_HAB,BAL,B6N,SE22"	13700	14900	15300	15200	15400	16000	16800	16700	17100	17600	17100	: 
"PPS_HAB,BAL,B6N,SE23"	13800	15000	15500	15200	15600	16300	17200	17000	17600	18100	17700	: 
"PPS_HAB,BAL,B6N,SE31"	13000	14100	14500	14300	14600	15300	16100	15900	16400	16900	16300	: 
"PPS_HAB,BAL,B6N,SE32"	13100	14300	14500	14300	14600	15300	16200	16000	16500	17000	16400	: 
"PPS_HAB,BAL,B6N,SE33"	12900	14000	14500	14200	14700	15400	16300	16200	16700	17100	16500	: 
"PPS_HAB,BAL,B6N,SI03"	11000	11700	12000	11200	11400	11800	11700	11700	12000	12500	12600	13100
"PPS_HAB,BAL,B6N,SI04"	12300	13100	13800	12600	12800	13100	12800	12600	12700	13100	13200	13800
"PPS_HAB,BAL,B6N,SK01"	12300	13700	14600	15200	15100	15700	16500	16800	: 	18400	18400	: 
"PPS_HAB,BAL,B6N,SK02"	7900	8800	9700	9600	10300	10500	10600	10800	: 	11800	11500	: 
"PPS_HAB,BAL,B6N,SK03"	7400	8700	9200	9200	9800	9900	10100	10600	: 	11500	11600	: 
"PPS_HAB,BAL,B6N,SK04"	6800	7400	8200	8100	8800	8700	9200	9300	: 	10400	10400	: 
"PPS_HAB,BAL,B6N,UKC1"	13800	13900	13700	13400	13700	13700	14300	14100	14400	15200	14600	: 
"PPS_HAB,BAL,B6N,UKC2"	14100	14300	14100	14000	14200	14200	14900	14700	14800	15800	15300	: 
"PPS_HAB,BAL,B6N,UKD1"	15900	16300	15900	15700	16100	16000	16900	16900	17100	18300	18000	: 
"PPS_HAB,BAL,B6N,UKD3"	14500	14800	14400	14000	14100	14000	14600	14500	14700	15700	15200	: 
"PPS_HAB,BAL,B6N,UKD4"	14400	14800	14600	14300	14400	14400	14800	14700	14900	15900	15500	: 
"PPS_HAB,BAL,B6N,UKD6"	18000	18400	18000	17500	17500	17400	18400	18400	18800	20300	19500	: 
"PPS_HAB,BAL,B6N,UKD7"	14100	14600	14300	14100	14200	14200	14800	14700	14900	15800	15300	: 
"PPS_HAB,BAL,B6N,UKE1"	14200	14600	14200	13800	13900	14100	14500	14200	14400	15400	15100	: 
"PPS_HAB,BAL,B6N,UKE2"	17600	17900	17600	17300	17100	17200	18000	17800	18000	19300	19000	: 
"PPS_HAB,BAL,B6N,UKE3"	13700	14000	13700	13300	13300	13400	13900	13800	14200	15000	14700	: 
"PPS_HAB,BAL,B6N,UKE4"	14300	14800	14400	13800	13900	13900	14400	14400	14600	15600	15300	: 
"PPS_HAB,BAL,B6N,UKF1"	14600	15200	14800	14300	14200	14200	14800	14800	15100	16300	15900	: 
"PPS_HAB,BAL,B6N,UKF2"	15600	16300	15700	15000	15100	15300	16000	15900	16100	17300	16900	: 
"PPS_HAB,BAL,B6N,UKF3"	15000	15600	15400	14900	15100	15300	15800	15600	15900	16700	16100	: 
"PPS_HAB,BAL,B6N,UKG1"	17500	17600	17400	16800	16800	17000	17600	17700	18100	19600	19300	: 
"PPS_HAB,BAL,B6N,UKG2"	15100	15400	15400	14800	14900	15000	15500	15500	15700	17000	16700	: 
"PPS_HAB,BAL,B6N,UKG3"	13200	13400	13100	12800	13000	12900	13400	13300	13600	14500	14100	: 
"PPS_HAB,BAL,B6N,UKH1"	15800	16200	16200	15700	15900	15900	16600	16600	16900	18200	17900	: 
"PPS_HAB,BAL,B6N,UKH2"	19000	19500	19200	18600	18600	18400	19400	19600	20000	21600	21200	: 
"PPS_HAB,BAL,B6N,UKH3"	17500	17800	17800	17200	17100	17200	17900	17800	18000	19500	19200	: 
"PPS_HAB,BAL,B6N,UKI3"	37000	40300	41300	38900	37200	35400	38500	41200	42800	46600	45100	: 
"PPS_HAB,BAL,B6N,UKI4"	19200	20100	19700	18700	19000	18800	19900	20000	20600	22500	21900	: 
"PPS_HAB,BAL,B6N,UKI5"	17500	18100	17900	16900	17000	16800	17900	17800	18100	19700	19600	: 
"PPS_HAB,BAL,B6N,UKI6"	21300	22000	21500	20000	20300	20300	21700	21700	22100	24000	23700	: 
"PPS_HAB,BAL,B6N,UKI7"	21200	21900	21600	20200	20400	20200	21700	22100	22800	25200	24900	: 
"PPS_HAB,BAL,B6N,UKJ1"	20500	21200	20800	19900	19700	19700	20600	20700	21100	23000	22600	: 
"PPS_HAB,BAL,B6N,UKJ2"	21200	21700	21200	20200	20300	20300	21300	21500	21700	23500	22700	: 
"PPS_HAB,BAL,B6N,UKJ3"	17400	18100	17900	17400	17400	17300	18200	18200	18300	19800	19300	: 
"PPS_HAB,BAL,B6N,UKJ4"	17300	17800	17500	17000	17100	17100	17800	17800	18100	19400	18700	: 
"PPS_HAB,BAL,B6N,UKK1"	17400	17700	17600	16700	16900	17000	17500	17700	18100	19500	18900	: 
"PPS_HAB,BAL,B6N,UKK2"	17400	17800	17600	16500	16900	17000	17500	17500	17900	19000	18400	: 
"PPS_HAB,BAL,B6N,UKK3"	15000	15400	15200	14600	14900	15100	15600	15400	15600	16500	16000	: 
"PPS_HAB,BAL,B6N,UKK4"	15700	16000	16100	15600	15700	15700	16200	16200	16400	17500	17000	: 
"PPS_HAB,BAL,B6N,UKL1"	13900	14100	14200	13400	13600	13600	14200	14000	14200	14900	14600	: 
"PPS_HAB,BAL,B6N,UKL2"	15300	15500	15500	14600	14900	15000	15500	15200	15500	16400	16000	: 
"PPS_HAB,BAL,B6N,UKM5"	18100	18900	19100	18500	18900	19400	20300	20700	21000	21700	20600	: 
"PPS_HAB,BAL,B6N,UKM6"	14300	14900	16000	15500	15800	15600	16400	16300	16500	17500	17400	: 
"PPS_HAB,BAL,B6N,UKM7"	16500	17100	17000	16100	16300	16500	17100	17100	17200	18300	18000	: 
"PPS_HAB,BAL,B6N,UKM8"	15000	15600	15500	14900	14900	14800	15400	15300	15500	16400	16200	: 
"PPS_HAB,BAL,B6N,UKM9"	15100	15700	15600	15000	15400	15400	15900	15900	16100	16900	16800	: 
"PPS_HAB,BAL,B6N,UKN0"	14200	14300	14100	13400	13500	13700	14100	14100	14400	15300	15000	: 
